/coal|[https://www.bbc.com/,h]::1;[https://www.bbc.co.uk/news/technology-12668552,p]::1;
/coach|[https://english.ahram.org.eg/,p]::1;[https://www.everydayhealth.com/cancer/guide,s]::1;[https://www.everydayhealth.com/cancer/guide,p]::2;[https://developers.google.com/assistant/directory,p]::2;[https://www.everydayhealth.com/wellness/resilience,p]::1;[https://www.healthline.com/health/healthy-sex/sexual-guilt-purity-culture,p]::1;[https://www.everydayhealth.com/cancer/living-with/how-keep-friendships-strong-while-being-treated-cancer,s]::1;[https://www.everydayhealth.com/cancer/living-with/how-keep-friendships-strong-while-being-treated-cancer,p]::2;
/coalition|[https://www.everydayhealth.com/cancer/guide,s]::2;[https://www.everydayhealth.com/cancer/guide,p]::3;[https://www.everydayhealth.com/multiple-sclerosis/guide,s]::1;[https://www.everydayhealth.com/multiple-sclerosis/guide,p]::2;[https://www.everydayhealth.com/cancer/living-with/how-keep-friendships-strong-while-being-treated-cancer,s]::2;[https://www.everydayhealth.com/cancer/living-with/how-keep-friendships-strong-while-being-treated-cancer,p]::3;[https://www.cancercare.org,p]::1;[https://www.canceradvocacy.org,t]::1;[https://www.canceradvocacy.org,h]::1;[https://www.canceradvocacy.org,p]::4;[https://www.cancerfac.org,p]::1;[https://www.everydayhealth.com/cancer/genetic-counseling-for-cancer-risk-just-as-effective-via-telehealth-and-more-cancer-news-from-ascos-annual-meeting,p]::1;[https://www.everydayhealth.com/cervical-cancer/guide,s]::2;[https://www.everydayhealth.com/cervical-cancer/guide,p]::2;
/coaches|[https://www.hearstmagazines.co.uk,p]::1;[https://www.hearstmagazines.co.uk/home,p]::1;[https://www.hearstmagazines.co.uk/mens-health-squad-membership-subscription,s]::1;[https://www.hearstmagazines.co.uk/mens-health-squad-membership-subscription,p]::1;
/coaster|[https://psychcentral.com,p]::1;[https://archive.org/about/bios.php,p]::3;[http://www.archive-it.org,p]::4;[https://www.healthline.com/health/healthy-sex/sexual-guilt-purity-culture,p]::1;
/coat|[https://www.hearstmagazines.co.uk/red-beauty-box-luxe-10,p]::3;[https://www.hearstmagazines.co.uk/harpers-bazaar-beauty-box-9,p]::3;
/coats|[https://www.hearstmagazines.co.uk/red-beauty-box-luxe-10,p]::1;[https://www.hearstmagazines.co.uk/harpers-bazaar-beauty-box-9,p]::1;
/coastal|[https://www.hearstmagazines.co.uk/special-editions-subscriptions/country-living-specials,s]::1;[https://www.hearstmagazines.co.uk/holidays,p]::1;
/coauthor|[https://www.everydayhealth.com/heart-health/fda-approves-camzyos-for-the-treatment-of-obstructive-hypertrophic-cardiomyopathy,p]::1;[http://www.thesecuritypractice.com/the_security_practice/2011/03/http-state-management-mechanism-to-proposed-standard.html,p]::1;
/coates|[http://www.archive-it.org,p]::1;
/coated|[https://www.tutorialspoint.com/computer_glossary.htm,p]::1;
/coanchor|[https://www.everydayhealth.com/pictures/celebrities-with-breast-cancer,p]::1;
