/harm|[https://www.sciencenewsforstudents.org,p]::1;[https://www.sciencenewsforstudents.org/topics,p]::2;[https://www.healthline.com/nutrition,p]::1;
/hardest|[https://stackoverflow.com,p]::1;[https://nautil.us,p]::1;[https://accounts.accessibe.com/statement/?domain=academicinfo.net,p]::1;[https://www.healthline.com/nutrition,p]::2;
/harold|[https://www.dailymail.co.uk,p]::1;
/harbors|[https://nautil.us,h]::1;
/harry|[https://www.loc.gov,h]::1;
/harris|[https://www.loc.gov,h]::3;
/harmful|[https://nautil.us,p]::1;[https://www.everydayhealth.com/cancer/guide,p]::1;
/harvard|[https://nautil.us/about-us,p]::2;
/harder|[https://www.everydayhealth.com/cancer/guide,p]::1;
/hard…|[https://www.healthline.com/nutrition,p]::1;
/hardtotreat|[https://www.everydayhealth.com/cancer/guide,p]::1;
