<korea|[https://www.bbc.com/,h]::1;[https://www.iflscience.com/,h]::1;[https://www.bbc.co.uk/news/technology-12668552,p]::1;
<korean|[https://www.loc.gov,h]::1;[https://developers.google.com/assistant/console/languages-locales,h]::1;[https://developers.google.com/assistant/console/languages-locales,p]::1;
<koran|[https://www.propublica.org/article/zombie-cookie-the-tracking-cookie-that-you-cant-kill?token=PrSqc58cn7gW-eRA_isLN03ygBJN8E84,p]::1;
<korrekte|[https://af.wikipedia.org/wiki/Koekie_(rekenaarwetenskap),p]::2;
<korbon|[https://eo.wikipedia.org/wiki/Kuketo,p]::1;
<korisnik|[https://sh.wikipedia.org/wiki/Cookie,p]::17;
<korisnikovoj|[https://sh.wikipedia.org/wiki/Cookie,p]::2;
<koriste|[https://sh.wikipedia.org/wiki/Cookie,p]::2;
<korisnikovom|[https://sh.wikipedia.org/wiki/Cookie,p]::1;
<korisnikovim|[https://sh.wikipedia.org/wiki/Cookie,p]::3;
<koristiti|[https://sh.wikipedia.org/wiki/Cookie,p]::8;
<korisnici|[https://sh.wikipedia.org/wiki/Cookie,p]::2;
<korisnika|[https://sh.wikipedia.org/wiki/Cookie,p]::1;
<korisnikom|[https://sh.wikipedia.org/wiki/Cookie,p]::1;
<korisniku|[https://sh.wikipedia.org/wiki/Cookie,p]::4;
<korisničko|[https://sh.wikipedia.org/wiki/Cookie,p]::1;
<korišteno|[https://sh.wikipedia.org/wiki/Cookie,p]::1;
<korisnicima|[https://sh.wikipedia.org/wiki/Cookie,p]::3;
<korisnikovog|[https://sh.wikipedia.org/wiki/Cookie,p]::1;
<korištenjem|[https://sh.wikipedia.org/wiki/Cookie,p]::1;
<korištenih|[https://sh.wikipedia.org/wiki/Cookie,p]::1;
