/lite|[https://archive.org,h]::1;[https://archive.org/about/bios.php,p]::1;
/lithium|[https://www.everydayhealth.com/depression/guide,p]::1;[https://www.everydayhealth.com/psoriasis/guide,p]::1;
/literal|[https://www.everydayhealth.com/multiple-sclerosis/guide,p]::1;[http://edbrowse.org/usersguide.html#cook,p]::8;[https://web.archive.org/web/20170316024448/http:/edbrowse.org/usersguide.html#cook,p]::8;
/literary|[https://www.hearstmagazines.co.uk/good-housekeeping-magazine-subscription,p]::3;[https://blog.archive.org,p]::1;[http://www.archive-it.org,p]::1;
/literature|[https://www.hearstmagazines.co.uk/harpers-bazaar-magazine-subscription,p]::3;[https://blog.archive.org,h]::1;[https://blog.archive.org,p]::7;[https://www.everydayhealth.com/wellness/resilience,p]::1;[https://archive.org/about/bios.php,p]::1;[http://www.archive-it.org,p]::5;[https://api.semanticscholar.org/CorpusID:1848140,p]::1;[https://www.cancer.gov/about-cancer/treatment/side-effects/appetite-loss/nutrition-pdq#targetText=Good%2520nutrition%2520is%2520important%2520for,healthy%252C%2520and%2520to%2520replace%2520tissue.&targetText=Eating%2520the%2520right%2520kinds%2520of,feel%2520better%2520and%2520stay%2520stronger.,p]::1;
/little…|[https://www.healthline.com/mental-health,p]::1;[https://www.healthline.com/fitness,p]::1;
/literally|[https://www.everydayhealth.com/diet-nutrition/burning-questions-about-intermittent-fasting-answered,p]::1;[https://web.archive.org/web/20180810220427/https:/www.bbc.co.uk/news/technology-12668552,h]::1;[http://edbrowse.org/usersguide.html#cook,p]::1;
/liters|[https://www.everydayhealth.com/dehydration/hydration-calculator,p]::1;
/literacy|[https://archive.org/about/bios.php,p]::1;[http://www.archive-it.org,p]::5;
/literaturebased|[https://www.everydayhealth.com/symptom-checker,p]::1;
/literate|[http://www.archive-it.org,p]::1;
/litigation|[https://archive.org/about/terms.php,p]::1;
/littered|[https://web.archive.org/web/20180810220427/https:/www.bbc.co.uk/news/technology-12668552,p]::1;
/littlest|[https://www.acco.org,p]::2;
