<nobles|[https://www.iflscience.com/,h]::1;
<nobuhiko|[https://www.sensesofcinema.com,h]::1;[https://www.sensesofcinema.com/category/feature-articles,h]::1;[https://www.sensesofcinema.com/category/festival-reports,h]::1;[https://www.sensesofcinema.com/category/book-reviews,h]::1;[https://www.sensesofcinema.com/category/cteq,h]::1;[https://www.sensesofcinema.com/category/great-directors,h]::1;[https://www.sensesofcinema.com/2022/feature-articles/heil-darling-a-story-of-lips-that-havent-laughed,h]::1;[https://www.sensesofcinema.com/2022/feature-articles/the-night-shift-woman-as-outlaw-hero-in-the-man-i-love,h]::1;[https://www.sensesofcinema.com/author/pablo-goncalo,h]::1;[https://www.sensesofcinema.com/author/rob-nixon,h]::1;[https://www.sensesofcinema.com/2022/feature-articles/smooth-digital-reveries-on-proto-vaporwave-and-the-flying-luna-clipper,h]::1;[https://www.sensesofcinema.com/2022/feature-articles/promising-young-woman-and-the-cinematic-renegotiation-of-gender-in-rape-revenge,h]::1;[https://www.sensesofcinema.com/author/dechlan-cochran,h]::1;[https://www.sensesofcinema.com/author/joy-mcentee,h]::1;[https://www.sensesofcinema.com/2022/feature-articles/streaming-paracinema-charles-band-full-moon-features-and-auteurism-on-third-tier-svod-services,h]::1;[https://www.sensesofcinema.com/author/andrew-lynch-and-alexa-scarlata,h]::1;[https://www.sensesofcinema.com/category/interviews,h]::1;[https://www.sensesofcinema.com/2000/interviews/ng,h]::1;[https://www.sensesofcinema.com/2022/interviews/pom-bunsermvicha-interview-being-part-of-a-family,h]::1;[https://www.sensesofcinema.com/author/maja-korbecka,h]::1;[https://www.sensesofcinema.com/2022/interviews/leaning-into-the-challenge-interview-with-scattered-co-creators-logan-mucha-and-kate-darrigan,h]::1;[https://www.sensesofcinema.com/author/lukasz-mankowski,h]::1;[https://www.sensesofcinema.com/2022/interviews/a-joyride-through-technological-change-interview-with-david-cox,h]::1;[https://www.sensesofcinema.com/author/dirk-de-bruyn,h]::1;[https://www.sensesofcinema.com/2021/interviews/sunken-film-bill-morrison-talks-the-village-detective-a-song-cycle,h]::1;[https://www.sensesofcinema.com/author/andrew-northrop,h]::1;[https://www.sensesofcinema.com/2006/great-directors/bolognini,h]::1;[https://www.sensesofcinema.com/2022/great-directors/curtiz-michael,h]::1;[https://www.sensesofcinema.com/author/jeremy-carr,h]::1;[https://www.sensesofcinema.com/2022/great-directors/lau-kar-leung,h]::1;[https://www.sensesofcinema.com/author/tom-cunliffe,h]::1;[https://www.sensesofcinema.com/2022/great-directors/tahimik-kidlat,h]::1;[https://www.sensesofcinema.com/author/charles-fairbanks,h]::1;[https://www.sensesofcinema.com/2021/great-directors/lucas-george,h]::1;[https://www.sensesofcinema.com/author/dan-golding,h]::1;[https://www.sensesofcinema.com/2021/great-directors/obayashi-nobuhiko,t]::1;[https://www.sensesofcinema.com/2021/great-directors/riefenstahl-leni,h]::1;[https://www.sensesofcinema.com/2021/great-directors/obayashi-nobuhiko,h]::2;[https://www.sensesofcinema.com/2021/great-directors/obayashi-nobuhiko,p]::3;[https://www.sensesofcinema.com/author/hal-young,h]::2;[https://www.sensesofcinema.com/category/great-actors,h]::1;[https://www.sensesofcinema.com/2001/festival-reports/stkff_jake,h]::1;[https://www.sensesofcinema.com/author/hal-young,p]::1;[https://www.sensesofcinema.com/2022/festival-reports/thessaloniki-international-film-festival-rewriting-the-rules-of-the-game,h]::1;[https://www.sensesofcinema.com/author/maria-giovanna-vagenas,h]::1;[https://www.sensesofcinema.com/2022/festival-reports/the-pivot-to-asia-the-34th-tokyo-international-film-festival,h]::1;[https://www.sensesofcinema.com/author/kohei-usuda,h]::1;[https://www.sensesofcinema.com/2022/festival-reports/come-together-the-59th-viennale,h]::1;[https://www.sensesofcinema.com/author/leonardo-goi,h]::1;[https://www.sensesofcinema.com/2022/festival-reports/from-white-clouds-wild-delights-the-18th-golden-apricot-yerevan-international-film-festival,h]::1;[https://www.sensesofcinema.com/author/carmen-gray,h]::1;[https://www.sensesofcinema.com/2022/festival-reports/afi-fest-afm-the-perils-of-online,h]::1;[https://www.sensesofcinema.com/author/berenice-reynaud,h]::1;[https://www.sensesofcinema.com/2022/festival-reports/looking-for-love-at-hitchcon-2021,h]::1;[https://www.sensesofcinema.com/author/amelia-leonard-and-jacob-agius,h]::1;[https://www.sensesofcinema.com/2018/book-reviews/mind-movie-critic-two-cheers-hollywood-joseph-mcbride,h]::1;[https://www.sensesofcinema.com/2022/book-reviews/the-depths-of-empiricism-werner-herzog-ecstatic-truth-and-other-useless-conquests-by-kristoffer-hegnsvad,h]::1;[https://www.sensesofcinema.com/author/tony-mckibbin,h]::1;[https://www.sensesofcinema.com/2022/book-reviews/hollywood-reinvented-shooting-midnight-cowboy-art-sex-loneliness-liberation-and-the-making-of-a-dark-classic-by-glenn-frankel,h]::1;[https://www.sensesofcinema.com/2021/book-reviews/rhythm-and-light-poetic-cinema-and-the-spirit-of-the-gift-in-the-films-of-pabst-parajanov-kubrick-and-ruiz-by-laleen-jayamanne,h]::1;[https://www.sensesofcinema.com/author/steven-shaviro,h]::1;[https://www.sensesofcinema.com/2021/book-reviews/42756,h]::1;[https://www.sensesofcinema.com/author/elroy-rosenberg,h]::1;[https://www.sensesofcinema.com/author/adrian-schober,h]::1;[https://www.sensesofcinema.com/2021/book-reviews/foraging-in-a-transforming-mediascape-cinemas-dark-and-slow-in-digital-india-by-lalitha-gopalan,h]::1;[https://www.sensesofcinema.com/author/megan-carrigy,h]::1;[https://www.sensesofcinema.com/2004/cteq/virgin_spring,h]::1;[https://www.sensesofcinema.com/2022/cteq/fritz-langs-spione-1928,h]::1;[https://www.sensesofcinema.com/2021/book-reviews/time-machines-after-kubrick-a-filmmakers-legacy-edited-by-jeremi-szaniawski,h]::1;[https://www.sensesofcinema.com/2022/cteq/out-of-the-shadows-cloak-and-dagger-fritz-lang-1946,h]::1;[https://www.sensesofcinema.com/2022/cteq/an-entertainment-fritz-langs-ministry-of-fear-1944,h]::1;[https://www.sensesofcinema.com/author/andreas-giannopoulos,h]::1;[https://www.sensesofcinema.com/author/shari-kizirian,h]::1;[https://www.sensesofcinema.com/author/ian-olney,h]::1;[https://www.sensesofcinema.com/author/adrian-danks,h]::1;[https://www.sensesofcinema.com/2022/cteq/a-pin-for-me-at-fritz-langs-man-hunt,h]::1;[https://www.sensesofcinema.com/author/wheeler-winston-dixon,h]::1;[https://www.sensesofcinema.com/2022/cteq/m-fritz-lang-1931,h]::1;[https://www.sensesofcinema.com/2022/cteq/fritz-lang-in-america-while-the-city-sleeps,h]::1;[https://www.sensesofcinema.com/about/contact-us,h]::1;[https://www.sensesofcinema.com/about/staff,h]::1;[https://www.sensesofcinema.com/about/patrons,h]::1;[https://www.sensesofcinema.com/about,h]::1;[https://www.sensesofcinema.com/category/news,h]::1;[https://www.sensesofcinema.com/category/world-poll,h]::1;[https://www.sensesofcinema.com/about/advertisers,h]::1;[https://www.sensesofcinema.com/about/style-guide,h]::1;[https://www.sensesofcinema.com/about/proposals,h]::1;[https://www.sensesofcinema.com/call-for-submissions,h]::1;[https://www.sensesofcinema.com/shop,h]::1;[https://www.sensesofcinema.com/2022/feature-articles/the-cry-cinema-sentiment-minnelli,h]::1;[https://www.sensesofcinema.com/2022/feature-articles/loss-and-absence-in-still-life,h]::1;[https://www.sensesofcinema.com/author/murray-pomerance,h]::1;[https://www.sensesofcinema.com/author/yiju-huang,h]::1;[https://www.sensesofcinema.com/2022/feature-articles/jacob-holdts-american-pictures-a-note-on-style-in-poor-cinema,h]::1;[https://www.sensesofcinema.com/author/j-ronald-green,h]::1;[https://www.sensesofcinema.com/author/mary-hamer,h]::1;[https://www.sensesofcinema.com/2022/feature-articles/the-journey-peter-watkinss-polyphonic-plea-for-humanity,h]::1;[https://www.sensesofcinema.com/2022/feature-articles/no-exit-monte-hellmans-the-shooting,h]::1;[https://www.sensesofcinema.com/author/jacob-hovind,h]::1;[https://www.sensesofcinema.com/author/anand-sudha,h]::1;[https://www.sensesofcinema.com/category/feature-articles/page/2,h]::1;[https://www.sensesofcinema.com/2015/feature-articles/nationalism-on-and-off-the-screen,h]::1;[https://www.sensesofcinema.com/author/moritz-pfeifer,h]::1;[https://www.sensesofcinema.com/2006/great-directors/carax,h]::1;[https://www.sensesofcinema.com/2001/festival-reports/bangkok-2,h]::1;[https://www.sensesofcinema.com/2015/feature-articles/notes-on-bruno-dumonts-ptit-quinquin-or-something-is-rotten-in-the-north-of-france,h]::1;[https://www.sensesofcinema.com/2015/michael-bay-dossier/michael-bay-the-island,h]::1;[https://www.sensesofcinema.com/2012/feature-articles/the-artist-mystification-beyond-artistry,h]::1;[https://www.sensesofcinema.com/2020/feature-articles/founding-father-a-tribute-to-thomas-elsaesser-1943-2019,h]::1;[http://www.sensesofcinema.com/2022/world-poll/world-poll-2021-part-2,h]::1;[http://www.sensesofcinema.com/2022/world-poll/world-poll-2021-part-2,p]::1;[http://www.sensesofcinema.com/2022/world-poll/world-poll-2021-part-5,h]::1;[http://www.sensesofcinema.com/2022/world-poll/world-poll-2021-part-3,h]::1;[http://www.sensesofcinema.com/2022/world-poll/world-poll-2021-part-7,h]::1;[http://www.sensesofcinema.com/2022/world-poll/world-poll-2021-part-3,p]::1;[http://www.sensesofcinema.com/2022/world-poll/world-poll-2021-part-8,h]::1;[http://www.sensesofcinema.com/2022/world-poll/world-poll-2021-part-8,p]::1;[https://www.sensesofcinema.com/2021/interviews/an-interview-with-the-late-monte-hellman-1929-2021,h]::1;
<nobel|[https://www.harvard.edu/,s]::1;[https://nautil.us/topics/astronomy,h]::1;[https://nautil.us/topics/communication,h]::1;[https://nautil.us/topics/communication,p]::2;[https://nautil.us/topics/evolution,h]::1;[https://nautil.us/topics/genetics,h]::1;[https://nautil.us/topics/genetics,p]::1;[https://nautil.us/topics/history,p]::1;[https://nautil.us/topics/neuroscience,h]::1;[https://nautil.us/topics/neuroscience,p]::2;[https://nautil.us/topics/physics,h]::4;[https://nautil.us/topics/philosophy,h]::1;[https://nautil.us/topics/philosophy,p]::1;[https://nautil.us/topics/physics,p]::10;[https://nautil.us/topics/technology,h]::4;[https://nautil.us/topics/sociology,h]::1;[https://nautil.us/topics/technology,p]::3;[https://nautil.us/topics/sociology,p]::1;[https://nautil.us/topics/zoology,p]::1;[https://www.nationalgeographic.com/magazine/article/behold-the-first-picture-of-the-black-hole-at-the-center-of-our-galaxy,p]::1;[https://nautil.us/ebook,p]::3;[https://www.nationalgeographic.com/magazine/article/viruses-can-cause-great-harm-but-we-could-not-live-without-them-feature,p]::1;[http://history.mayoclinic.org,h]::1;[http://history.mayoclinic.org,p]::1;[https://www.nationalgeographic.com/magazine/article/martin-luther-king-streets-worldwide,p]::1;[https://meded.hms.harvard.edu/teaching-awards,p]::1;[https://www.harvard.edu/copyright-issue,s]::1;[https://onlinelearning.hms.harvard.edu/hmx/about,p]::1;
<noble|[https://www.marca.com/futbol/liga-francesa/2022/05/16/6281fbe8ca4741fe5e8b4593.html,p]::1;[https://www.sensesofcinema.com/2022/great-directors/tahimik-kidlat,p]::1;[https://nautil.us/topics/communication,p]::1;[https://nautil.us/topics/neuroscience,p]::2;[https://www.nationalgeographic.com/magazine/article/from-the-editor-race-racism-history,p]::1;[https://www.dailywritingtips.com/50-rhetorical-devices-for-rational-writing,p]::2;[https://www.dailymail.co.uk/sport/index.html,s]::1;[https://www.dailymail.co.uk/travel/index.html,p]::1;
<nobudge|[https://www.sensesofcinema.com/2022/feature-articles/streaming-paracinema-charles-band-full-moon-features-and-auteurism-on-third-tier-svod-services,p]::2;
<noblemen|[https://www.sensesofcinema.com/2006/great-directors/bolognini,p]::1;
<noblewoman|[https://www.sensesofcinema.com/2006/great-directors/bolognini,p]::1;
<nobrainer|[https://blog.archive.org/category/technical,p]::1;[https://www.sensesofcinema.com/2018/book-reviews/mind-movie-critic-two-cheers-hollywood-joseph-mcbride,p]::1;[https://www.dailywritingtips.com/34-writing-tips-that-will-make-you-a-better-writer,p]::1;[https://www.nytimes.com/2022/04/14/health/covid-cases-tracking.html,p]::1;
<noborders|[https://developer.twitter.com/en/docs/twitter-for-websites/oembed-api,p]::1;
<nobility|[https://www.sensesofcinema.com/2022/feature-articles/the-cry-cinema-sentiment-minnelli,p]::1;[https://www.dailywritingtips.com/75-contronyms-words-with-contradictory-meanings,p]::2;
<nobuhiro|[http://www.sensesofcinema.com/2022/world-poll/world-poll-2021-part-3,p]::1;
