<odps|[https://www.bbc.com/editorialguidelines/guidelines/editorial-standards#15accountability,p]::1;
<odpowiedzialnaza|[http://wpolityce.pl/kultura/226645-ida-jak-poklosie-pluzanski-w-filmie-to-polacy-sa-mordercami,s]::1;[http://wpolityce.pl/kultura/226645-ida-jak-poklosie-pluzanski-w-filmie-to-polacy-sa-mordercami,p]::1;
<odpowiedzialnościza|[http://wpolityce.pl/kultura/226645-ida-jak-poklosie-pluzanski-w-filmie-to-polacy-sa-mordercami,p]::1;
<odpowiedzialny|[https://kasyno-now.com,h]::1;
<odpowiednich|[https://kasyno-now.com,p]::1;
<odpowiedzialnością|[https://kasyno-now.com,p]::1;
<odpowiednie|[https://kasyno-now.com,p]::2;
<odpowiedzi|[https://kasyno-now.com,p]::2;
<odpowiedź|[https://kasyno-now.com,p]::1;
<odpowiednio|[https://kasyno-now.com,p]::2;
<odpowiednią|[https://kasyno-now.com,p]::2;
