/pins|[https://www.dailymail.co.uk,h]::1;[https://developers.google.com/assistant/console/policies/general-policies,p]::1;
/pine|[https://www.dailymail.co.uk,p]::1;[https://archive.org/about/contact.php,p]::1;[http://www.archive-it.org,p]::1;
/pinch|[https://www.dailymail.co.uk,p]::1;[https://www.everydayhealth.com/mediterranean-diet/guide,p]::1;
/pink|[https://www.dailymail.co.uk,p]::1;[https://www.everydayhealth.com/psoriasis/guide,p]::1;[https://www.everydayhealth.com/sexual-health/sexually-transmitted-diseases,p]::1;[https://www.everydayhealth.com/pictures/celebrities-with-breast-cancer,p]::1;[https://www.acco.org,p]::1;
/pings|[https://stackoverflow.com,p]::1;
/pineapple|[https://www.hearstmagazines.co.uk/good-housekeeping-beauty-box-7,p]::1;
/pinus|[https://www.hearstmagazines.co.uk/harpers-bazaar-beauty-box-9,p]::1;
/pingback|[https://blog.archive.org/2016/10/23/defining-web-pages-web-sites-and-web-captures,p]::3;[https://blog.archive.org/2013/10/24/web-archive-404-handler-for-webmasters,p]::7;
/pinterest|[https://www.tutorialspoint.com/kotlin/index.htm,p]::1;[https://web.archive.org/web/20180810220427/https:/www.bbc.co.uk/news/technology-12668552,p]::1;
/pinpasswords|[https://developers.google.com/assistant/console/policies/general-policies,p]::2;
/pinpoint|[https://www.everydayhealth.com/cancer/guide/cancer-diagnosis-tests,p]::1;[https://twitter.com/privacy,p]::1;
/pinto|[https://www.everydayhealth.com/cancer-photos/top-foods-to-fight-cancer.aspx,p]::1;
/pintadinha|[https://developers.googleblog.com/2020/06/announcing-actions-builder-actions-sdk.html,p]::3;
/pintadinhas|[https://developers.googleblog.com/2020/06/announcing-actions-builder-actions-sdk.html,p]::1;
/pineal|[https://www.cancer.gov/about-cancer/treatment/side-effects/appetite-loss/nutrition-pdq#targetText=Good%2520nutrition%2520is%2520important%2520for,healthy%252C%2520and%2520to%2520replace%2520tissue.&targetText=Eating%2520the%2520right%2520kinds%2520of,feel%2520better%2520and%2520stay%2520stronger.,p]::1;
/pinnacle|[https://www.everydayhealthgroup.com,p]::1;
