<skript|[https://de.wikipedia.org/wiki/HTTP-Cookie,p]::2;[https://ms.wikipedia.org/wiki/Kuki_HTTP,p]::1;
<skriptovacího|[https://cs.wikipedia.org/wiki/HTTP_cookie,p]::1;
<skráð|[https://is.wikipedia.org/wiki/Vafrakaka,p]::1;
<skrócie|[https://pl.wikipedia.org/wiki/HTTP_cookie,p]::1;
<skryptów|[https://pl.wikipedia.org/wiki/HTTP_cookie,p]::1;
<skrótem|[https://pl.wikipedia.org/wiki/HTTP_cookie,p]::1;
<skryptu|[https://pl.wikipedia.org/wiki/HTTP_cookie,p]::1;
<skriptu|[https://sh.wikipedia.org/wiki/Cookie,p]::1;
<skriptom|[https://sh.wikipedia.org/wiki/Cookie,p]::1;
<skriptovacieho|[https://sk.wikipedia.org/wiki/HTTP_cookie,p]::1;
<skripta|[https://sh.wikipedia.org/wiki/Cookie,p]::1;
<skratke|[https://sk.wikipedia.org/wiki/HTTP_cookie,p]::1;
