/spew|[https://www.sciencenewsforstudents.org,h]::2;[https://www.sciencenewsforstudents.org/topics,h]::3;
/speech|[https://www.dailymail.co.uk,h]::1;
/specific|[https://stackoverflow.com,p]::1;[https://accounts.accessibe.com/statement/?domain=academicinfo.net,p]::1;[https://stackoverflow.co,p]::1;[https://www.everydayhealth.com/cancer/guide,p]::2;
/spectacular|[https://www.dailymail.co.uk,p]::1;
/speak|[https://www.dailymail.co.uk,p]::1;
/speaking|[https://www.dailymail.co.uk,p]::1;
/speed|[https://www.dailymail.co.uk,p]::1;
/spending|[https://www.loc.gov,h]::1;[https://discountcode.dailymail.co.uk,p]::2;
/specialists|[https://jobs.mayoclinic.org,p]::1;[https://discountcode.dailymail.co.uk,h]::1;[https://www.everydayhealth.com/cancer/guide,h]::1;[https://ask.loc.gov,p]::2;[https://www.everydayhealth.com/cancer/guide,p]::1;
/specialtiesdesk|[https://jobs.mayoclinic.org,p]::1;
/sperm|[https://www.everydayhealth.com/cancer/guide,p]::1;
/speedy|[https://www.everydayhealth.com/cancer/guide,p]::1;
/speakers|[https://www.everydayhealth.com/cancer/guide,p]::1;
