<wysiwyg|[https://bbc.github.io/subtitle-guidelines,p]::1;
<wysyłany|[http://wpolityce.pl/kultura/226645-ida-jak-poklosie-pluzanski-w-filmie-to-polacy-sa-mordercami,p]::1;
<wysoką|[https://kasyno-now.com,p]::3;
<wysoki|[https://kasyno-now.com,p]::3;
<wysokich|[https://kasyno-now.com,p]::1;
<wysokość|[https://kasyno-now.com,p]::1;
<wysokim|[https://kasyno-now.com,p]::2;
<wysokie|[https://kasyno-now.com,p]::1;
<wysokiej|[https://kasyno-now.com,p]::2;
<wyszukane|[https://kasyno-now.com,p]::1;
<występuje|[https://kasyno-now.com,p]::1;
<wyszukanymi|[https://kasyno-now.com,p]::1;
<wysocka|[https://www.nationalgeographic.com/magazine/article/viruses-can-cause-great-harm-but-we-could-not-live-without-them-feature,p]::3;
