/فى|[https://www.filgoal.com,t]::2;[https://fantasy.filgoal.com,t]::1;[https://fantasy.filgoal.com,p]::1;
/الجول|[https://www.filgoal.com,t]::1;[https://fantasy.filgoal.com,t]::1;
/الموقع|[https://www.filgoal.com,t]::1;
/أخبار|[https://www.goal.com,t]::1;[https://www.goal.com,h]::5;[https://www.goal.com,p]::6;
/الرياضى|[https://www.filgoal.com,t]::1;
/كرة|[https://www.goal.com,t]::1;
/الرائد|[https://www.filgoal.com,t]::1;
/القدم|[https://www.goal.com,t]::1;[https://www.goal.com,p]::1;
/مصر|[https://www.filgoal.com,t]::1;[https://www.goal.com,t]::1;
/مباشر|[https://www.goal.com,t]::1;[https://www.goal.com,h]::4;[https://www.goal.com,p]::1;
/و|[https://www.filgoal.com,t]::1;
/ومواعيد|[https://www.goal.com,t]::1;
/الوطن|[https://www.filgoal.com,t]::1;
/ونتائج|[https://www.goal.com,t]::1;[https://www.goal.com,p]::1;
/العربى|[https://www.filgoal.com,t]::1;[https://www.goal.com,p]::1;
/المباريات|[https://www.goal.com,t]::1;[https://www.goal.com,p]::2;
/صفقات|[https://www.goal.com,t]::1;
/وانتقالات|[https://www.goal.com,t]::1;
/أتلتيكو|[https://www.goal.com,h]::2;
/مدريد|[https://www.goal.com,h]::12;[https://www.goal.com,p]::11;
/ضد|[https://www.goal.com,h]::5;[https://www.goal.com,p]::4;
/ريال|[https://www.goal.com,h]::7;[https://www.goal.com,p]::10;
/لحظة|[https://www.goal.com,h]::2;
/بلحظة|[https://www.goal.com,h]::2;
/ألفيش|[https://www.goal.com,h]::2;
/لم|[https://www.goal.com,h]::1;
/يكذب|[https://www.goal.com,h]::1;
/تشافي|[https://www.goal.com,h]::2;[https://www.goal.com,p]::2;
/كان|[https://www.goal.com,h]::1;[https://www.goal.com,p]::1;
/قادرا|[https://www.goal.com,h]::1;[https://www.goal.com,p]::1;
/على|[https://www.goal.com,h]::7;[https://www.goal.com,p]::30;
/منح|[https://www.goal.com,h]::17;[https://www.goal.com,p]::25;
/برشلونة|[https://www.goal.com,h]::7;[https://www.goal.com,p]::9;
/لقب|[https://www.goal.com,h]::1;[https://www.goal.com,p]::1;
/الدوري|[https://www.goal.com,h]::27;[https://www.goal.com,p]::22;
/الإسباني|[https://www.goal.com,h]::5;[https://www.goal.com,p]::6;
/مانشستر|[https://www.goal.com,h]::5;[https://www.goal.com,p]::8;
/يونايتد|[https://www.goal.com,h]::2;[https://www.goal.com,p]::4;
/كبير|[https://www.goal.com,h]::1;[https://www.goal.com,p]::1;
/إنجلترا|[https://www.goal.com,h]::1;
/إلى|[https://www.goal.com,h]::4;[https://www.goal.com,p]::1;
/"فضيحة"|[https://www.goal.com,h]::1;
/بمنتصف|[https://www.goal.com,h]::1;
/الجدول|[https://www.goal.com,h]::1;
/عودة|[https://www.goal.com,h]::3;
/مذهلة|[https://www.goal.com,h]::1;
/لفاتي|[https://www.goal.com,h]::1;
/لكن|[https://www.goal.com,h]::1;
/حذاري|[https://www.goal.com,h]::1;
/تكرار|[https://www.goal.com,h]::1;
/سيناريو|[https://www.goal.com,h]::1;
/أحدهما|[https://www.goal.com,h]::2;[https://www.goal.com,p]::1;
/رباط|[https://www.goal.com,h]::1;
/صليبي|[https://www.goal.com,h]::1;
/الإصابة|[https://www.goal.com,h]::1;
/تنهي|[https://www.goal.com,h]::1;
/موسم|[https://www.goal.com,h]::2;[https://www.goal.com,p]::5;
/نجمي|[https://www.goal.com,h]::3;
/الهلال|[https://www.goal.com,h]::4;
/حكايات|[https://www.goal.com,h]::1;[https://www.goal.com,p]::1;
/سعودية|[https://www.goal.com,h]::1;[https://www.goal.com,p]::1;
/إصابة|[https://www.goal.com,h]::1;
/كادت|[https://www.goal.com,h]::1;
/تجبر|[https://www.goal.com,h]::1;
/حمد|[https://www.goal.com,h]::1;
/الله|[https://www.goal.com,h]::1;
/الاعتزال|[https://www.goal.com,h]::1;[https://www.goal.com,p]::1;
/المبكر|[https://www.goal.com,h]::1;
/جول|[https://www.goal.com,h]::1;[https://www.goal.com,p]::1;
/إنسايدر|[https://www.goal.com,h]::1;
/خطفته|[https://www.goal.com,h]::1;[https://www.goal.com,p]::2;
/السيارات|[https://www.goal.com,h]::1;
/فلجأ|[https://www.goal.com,h]::1;
/للاستثمارات|[https://www.goal.com,h]::1;
/الحائلي|[https://www.goal.com,h]::1;
/عاشق|[https://www.goal.com,h]::1;
/نوع|[https://www.goal.com,h]::1;
/خاص|[https://www.goal.com,h]::1;
/الانتقالات|[https://www.goal.com,h]::4;[https://www.goal.com,p]::5;
/حسم|[https://www.goal.com,h]::1;
/مصير|[https://www.goal.com,h]::1;
