/líder|[https://www.marca.com,t]::1;[https://www.marca.com,h]::1;
/'victory|[https://www.dailymail.co.uk,h]::1;
/'half|[https://www.dailymail.co.uk,h]::1;
/así|[https://www.marca.com,h]::1;
/'beaten|[https://www.dailymail.co.uk,h]::1;
/up'|[https://www.dailymail.co.uk,h]::1;
/'fenómeno|[https://www.marca.com,h]::1;
/títulos|[https://www.marca.com,h]::2;
/número|[https://www.marca.com,h]::1;
/"entre|[https://www.marca.com,h]::1;
/años|[https://www.marca.com,h]::3;[https://www.marca.com,p]::1;
/"alonso|[https://www.marca.com,h]::1;
/¿cuál|[https://www.marca.com,h]::1;
/sánchez|[https://www.marca.com,h]::2;
/"tenía|[https://www.marca.com,h]::1;
/'less|[https://www.dailymail.co.uk,h]::1;
/'shot'|[https://www.dailymail.co.uk,h]::1;
/it?|[https://www.sciencenewsforstudents.org,h]::1;
/'put|[https://www.dailymail.co.uk,h]::1;
/víctima|[https://www.marca.com,h]::1;
/frío|[https://www.sciencenewsforstudents.org,h]::1;
/'can|[https://www.dailymail.co.uk,h]::1;
/'reset'|[https://www.dailymail.co.uk,h]::1;
/más|[https://www.sciencenewsforstudents.org,h]::1;[https://www.marca.com,h]::1;[https://www.sciencenewsforstudents.org,p]::1;[https://www.nemours.org?external_id=RE2350835010600,p]::1;
/'owned|[https://www.dailymail.co.uk,h]::1;
/último|[https://www.marca.com,h]::1;
/'the|[https://www.dailymail.co.uk,h]::1;[https://www.dailymail.co.uk,p]::3;
/¿puede|[https://www.marca.com,h]::1;
/'sixty|[https://www.dailymail.co.uk,h]::1;
/¿lesionó|[https://www.marca.com,h]::1;
/'war|[https://www.dailymail.co.uk,h]::1;
/"compramos|[https://www.marca.com,h]::1;
/"tu|[https://www.marca.com,h]::1;
/"tengo|[https://www.marca.com,h]::1;
/'brutal'|[https://www.dailymail.co.uk,h]::1;
/"hacerse|[https://www.marca.com,h]::1;
/'los|[https://www.marca.com,h]::1;
/"el|[https://www.marca.com,h]::1;
/'it|[https://www.dailymail.co.uk,h]::1;
/día"|[https://www.marca.com,h]::2;
/'supervivientes'|[https://www.marca.com,h]::1;
/'masterchef'|[https://www.marca.com,h]::1;
/¿en|[https://www.marca.com,h]::1;
/qué|[https://www.marca.com,h]::1;
/fútbol|[https://www.marca.com,h]::1;
/"ansu|[https://www.marca.com,h]::1;
/eléctrico|[https://www.marca.com,h]::1;
/¡prepárate|[https://www.marca.com,h]::1;
/cuídateplus|[https://www.marca.com,s]::1;
